uuid;id_evolution;id_voie_provisoire_gauche;id_voie_provisoire_droite;cleabs;geometrie;sens_de_circulation;type_d_adressage;prive;importance;nature;nombre_de_voies;acces;identifiant_fpb_voie_droite;identifiant_fpb_voie_gauche;commentaire_collecteur;ordrefinevol;wkt
2d458730bcbba2657b46810df0bc9482;3e4f16a55879bb89f3cd4f61922d4f06;f9f8efaa8d51ddefa9e726fe84810cfd;f9f8efaa8d51ddefa9e726fe84810cfd;;0102000000020000001427778DA58A1B41F5705A2E20725841CEAFD625838F1B4109129D552C725841;;;;;;;;;;;;LINESTRING(451241.388149844 6408320.7242701,451552.786951777 6408369.33771182)
12690ee0e505eb4c41dc8242cf33a9fb;35d68cc78113aa1a7c2512e7d4fff8a2;b862482250d1c86944e6af82f7760a88;b862482250d1c86944e6af82f7760a88;TRONROUT0000000002545915;0102000000080000009A999999EF5519419A9999D97785584166666666D2551941000000E08085584166666666BA551941666666868785584100000000BA5519419A9999998785584133333333AB5519419A9999398C8558419A999999AB551941000000A08E85584100000000B0551941333333D390855841CDCCCCCCB6551941000000C092855841;;;;;;;;33075#01C;33075#01C;;;LINESTRING(415099.9 6428127.4,415092.6 6428163.5,415086.6 6428190.1,415086.5 6428190.4,415082.8 6428208.9,415082.9 6428218.5,415084 6428227.3,415085.7 6428235)
5c40c1871b53380d7032b7c033425db9;35d68cc78113aa1a7c2512e7d4fff8a2;b862482250d1c86944e6af82f7760a88;b862482250d1c86944e6af82f7760a88;TRONROUT0000000002545847;0102000000020000000000000010561941666666E66D8558419A999999EF5519419A9999D977855841;;;;;;;;33075#01C;33075#01C;;;LINESTRING(415108 6428087.6,415099.9 6428127.4)
6e579b137da05c6d0456e2d07ec43f0b;35d68cc78113aa1a7c2512e7d4fff8a2;2b773e6104717b6d55a2c298b67c45b1;2b773e6104717b6d55a2c298b67c45b1;TRONROUT0000000002545849;010200000007000000000000005A5719410000002014855841333333333F5719419A9999F916855841333333332D571941333333931A855841333333330F5719419A9999B92385584100000000AE5619419A9999393F8558419A999999215619419A999979688558410000000010561941666666E66D855841;;;;;;;;33075#01C;33075#01C;;;LINESTRING(415190.5 6427728.5,415183.8 6427739.9,415179.3 6427754.3,415171.8 6427790.9,415147.5 6427900.9,415112.4 6428065.9,415108 6428087.6)
a469c1885b08c603690d86ce5a75df0d;9c7b6c3c02be9d198a2a15a15661d814;9611b3be05eb8e81472b8b9b003d8b36;9611b3be05eb8e81472b8b9b003d8b36;;010200000002000000203393521BED1A4151EFA2BC608758415AB9B6C1DBE91A41C04AD56E78875841;;;;;;;;;;;;LINESTRING(441158.830639647 6430082.94744475,440950.939173599 6430177.73176831)
834c9fc6631f0badcc88eb5d42546f5b;4094879d3a6b4ae68c572b1a7120312d;3242f045fe6665f1a8ea286cf41c6ef7;3242f045fe6665f1a8ea286cf41c6ef7;;010200000002000000B65DD3B200EB1A4118CA79A07A875841FCB518CE79EA1A41F1E402BB48875841;;;;;;;;;;;;LINESTRING(441024.174634423 6430186.50743344,440990.45126614 6429986.92205165)
48a8bdbff8d941aab78b4a0291026672;1bd98873ae2f61492d462e8fa9318299;;;TRONROUT0000000002375037;0102000000050000009A99999927F21A4166666666578758413333333333F21A419A9999795B8758419A99999945F21A41000000E05F8758410000000066F21A41CDCCCCEC638758419A9999996BF21A41000000A064875841;;;;;;;;33174#01G;33174#01G;;;LINESTRING(441481.9 6430045.6,441484.8 6430061.9,441489.4 6430079.5,441497.5 6430095.7,441498.9 6430098.5)
1ab43af30e2afa8ec7db361c37ff7894;1bd98873ae2f61492d462e8fa9318299;;;TRONROUT0000000002375036;01020000000B0000009A9999996BF21A41000000A0648758416666666678F21A416666662666875841000000007AF21A419A999999678758413333333371F21A41000000A068875841CDCCCCCC66F21A41CDCCCC0C698758410000000024F21A41666666A66A8758419A99999919F21A41000000806A8758419A99999909F21A419A99993968875841666666660EF21A41CDCCCC2C678758410000000016F21A41CDCCCCCC668758419A9999996BF21A41000000A064875841;;;;;;;;33174#01G;33174#01G;;;LINESTRING(441498.9 6430098.5,441502.1 6430104.6,441502.5 6430110.4,441500.3 6430114.5,441497.7 6430116.2,441481 6430122.6,441478.4 6430122,441474.4 6430112.9,441475.6 6430108.7,441477.5 6430107.2,441498.9 6430098.5)
5821cd54b0bb826cb83133aab5792f8c;84959459e9134633f470134b16e34244;836a02ceffd4d983182f6d14ee5e088e;836a02ceffd4d983182f6d14ee5e088e;;0102000000050000006184802817DE1A41439BF4E1E8875841F4BAAEC2D9DE1A4135EA8E03EB87584176BC007CE8DF1A41EB845FF2EC875841133F60FD21E11A41500CD681EF875841FE8182798DE11A41D9966599F0875841;;;;;;;;;;;;LINESTRING(440197.789552754 6430627.5305546,440246.440119668 6430636.05559783,440314.121096558 6430643.78708003,440392.497437463 6430654.02868946,440419.36866191 6430658.39682552)
324ce0d2f61a18ff037aee0f37638a59;df41775217dcb05a4cf11cbaf2a9289c;;;TRONROUT0000000002372906;01020000000500000000000000C21F1B41000000205887584166666666E61F1B419A999919578758410000000090201B41666666864F8758413333333389211B4133333393448758419A99999991211B413333333344875841;;;;;;;;332430210;332430210;;2;LINESTRING(444400.5 6430048.5,444409.6 6430044.4,444452 6430014.1,444514.3 6429970.3,444516.4 6429968.8)
