"uuid";"id_evolution";"id_voie_provisoire";"cleabs";"numero";"indice_de_repetition";"complement_d_adressage";"commentaire_collecteur";"geometrie";"lien_vers_objet_support";"cle_abs_sga";"ordrefinevol";"cote";"identifiant_adresse_sga";"designation_de_l_entree";"wkt"
"9a357621337d6e2277da081ef22ba771";"b2b4e54fae908dee2310b7329b225040";"";"ADRNIVX_0000000000169781";"7";"BIS";"";"";"010100000005F3B78879661741A3401524ECCD5841";"TRONROUT0000000002479957";"7356123";"2";"Gauche";"3354401190007B0A01AM0055";"";"POINT(383390.383514211 6502320.56379715)"
"eb40f148e837a43dbab60303d023ab1d";"53c7e41985a976f1166416271c7547b2";"2c20b14a94fae671da99078b7ecbbb8e";"ADRNIVX_0000000000170121";"71";"BIS";"Batiment A";"";"0101000000C5CCCCCC266317415B6666068ECD5841";"TR10";"1111";"2";"Gauche";"ABC";"";"POINT(383177.7 6501944.09999999)"
"0168a2f3f0ba5190a752bb534218cbf5";"abe4d8ae013d20dadd9964df108d1df7";"fb74238da77339ef6a9f0fbe2f47eb0f";"";"1";"";"";"";"010100000007AD869BADEA1A4187E4669078875841";"";"31937218";"";"";"33174#01U000100000000000";"";"POINT(441003.401880935 6430178.25628007)"
"db30cd103e4984d8c8748cc9fb8b8562";"abe4d8ae013d20dadd9964df108d1df7";"fb74238da77339ef6a9f0fbe2f47eb0f";"";"2";"";"";"";"0101000000C1713DA5C9EA1A41015992D378875841";"";"31937219";"";"";"33174#01U000200000000000";"";"POINT(441010.411367204 6430179.30580735)"
"49c81572a2be9a6f3c1c7482a5c91111";"abe4d8ae013d20dadd9964df108d1df7";"fb74238da77339ef6a9f0fbe2f47eb0f";"";"3";"";"";"";"010100000060F735B9CBEA1A410E879D196C875841";"";"31937220";"";"";"33174#01U000300000000000";"";"POINT(441010.930869928 6430128.40023972)"
"03841c73df673b99a048b7c4d3765806";"abe4d8ae013d20dadd9964df108d1df7";"fb74238da77339ef6a9f0fbe2f47eb0f";"";"4";"";"";"";"01010000003E56E1FE23EB1A41086B246F53875841";"";"31937221";"";"";"33174#01U000400000000000";"";"POINT(441032.998906467 6430029.73659778)"
"9846eaf8fd65948e3c85c4fd3a2f1afa";"c3b02dcda6ab2faa43ab70090d900644";"e0ebad798faf7f12d741a6ec2d44dd88";"dcf0b5ba-7ff8-f256-145d-12cba9029743";"5";"QUINQUIES";"";"";"01010000007572D241A86A17418028C687BACD5841";"TRONROUT0000000002479951";"31937226";"";"";"3354400220005c0000000000";"";"POINT(383658.064279354 6502122.12146962)"
"7d45e297845fb469634e9bd1ca2dfa56";"ed9efebf955e40dccfe21ef5647dd28a";"162b8da46c330f75ea8136c92caed634";"";"5";"";"";"";"0101000000DE61F060886019417178BEB0B3845841";"";"31937233";"";"";"33075#03L000500000000000";"";"POINT(415778.094666986 6427342.7616254)"
"302b3c42f6d3d1f2295cda5021df3c55";"8ece84c814f4e7a73aecec25c61ff722";"719670ae2a915bff78a5078101a2e1b1";"95f9b4f4-a21a-f4f4-2570-f98459049c5d";"666";"TER";"";"";"0101000000756E7420C7961A41D1D28DEF14685841";"TRONROUT0000000002430219";"31937234";"";"Droit";"33120B0670666t0000000000";"";"POINT(435633.781694151 6398035.74303122)"
"440e331733d1c840e220e4b3e5851ffb";"c499458d9a34efc0db457cb2d07e47ac";"79625e0f5adabc95b5907ff0620d355b";"b673026e-5176-455f-df3b-206f871cbef4";"666";"BIS";"";"";"0101000000A694C85B9F961A4128635BAC18685841";"TRONROUT0000000002430219";"31937235";"";"Droit";"33120B0670666b0000000000";"";"POINT(435623.839632342 6398050.69307784)"
"6dbdb5a9e7855f91938ddc2acb93cf96";"1cd4440a428ea9546070568dd36828f9";"0f9379e59a413cdb3ab3b2a44b1f022a";"ADRNIVX_0000000000140076";"349";"B";"";"";"01010000005F666666A6F51A41F5FFFFBFE9875841";"TRONROUT0000000002373701";"6917418";"2";"Droit";"33174B0430349B0A01AI0465";"BLAAAAAAAAAAAAAAAAA";"POINT(441705.6 6430630.99999999)"
