uuid;dossier_id;id_user;type_evolution;date_creation;date_traitement_sga;date_fin_traitement;id_ripart;message;id_gcvs_transaction;statut;geometrie;wkt
51ef2eebef868a4fc7ff3032cdc8bc9d;47;1;Ajout voie AD;15/12/2014 00:00;18/12/2014 00:00;;;;;En cours;;
f827fb395770233166cede89266241ea;45;1;Ajout voie AD;12/12/2014 00:00;18/12/2014 00:00;;;;;En cours;;
2c5e08afda9aeb082333b556b05a2eff;82;1;Ajout voie AD;19/01/2015 15:03;;;;;;En cours;;
5014f86c1c589f704c1760e4aa8f7bdf;;1;Nouvelles adresses voie existante;15/01/2015 16:01;28/01/2015 15:13;;;;;En cours;;
35d68cc78113aa1a7c2512e7d4fff8a2;77;1;Creation voie sur troncon existant;19/01/2015 09:21;28/01/2015 15:14;;;SGA: Voie(s) non créée(s) (voir détails dans sga.log);;Erreur;;
498cae2cb31b72fd74dc9a04d73af945;44;1;Creation voie sur troncon existant;12/12/2014 00:00;28/01/2015 15:14;;;SGA: Voie(s) non créée(s) (voir détails dans sga.log);;Erreur;;
959ead3868191e850d0de07716b1b09d;;1;Modification semantique adresse;12/01/2015 13:19;28/01/2015 15:14;;;SGA: Adresse(s) non créée(s) (voir détails dans sga.log);;Erreur;;
a53014af0e6dda7434e321088769d807;;1;Nouvelles adresses voie existante;13/01/2015 17:00;28/01/2015 15:14;;;SGA: Adresse(s) non créée(s) (voir détails dans sga.log);;Erreur;;
3e4f16a55879bb89f3cd4f61922d4f06;74;1;Ajout voie AD;08/01/2015 14:55;22/01/2015 13:24;;;;;En cours;;
51ef200a6504b0b64e118056cbf44c50;;1;Modification geometrique adresse;12/01/2015 13:50;;;;;;Terminé;;
287d9a2431bad920a316656182f92e43;;1;Modification geometrique adresse;12/01/2015 13:14;;;;;;Terminé;;
032c6a8137f5b95a0a27cb1e286618ae;78;1;Ajout voie AD;19/01/2015 09:31;;;;;;En cours;;
9c7b6c3c02be9d198a2a15a15661d814;79;1;Ajout voie AD;19/01/2015 14:14;22/01/2015 15:14;;;;;En cours;;
5cbfa170bcff4416e4aac394c4ec03c4;;1;Suppression adresse;12/01/2015 13:19;22/01/2015 13:27;;;"Le type d evolution ""Suppression adresse"" n est pas pris en compte.";;Erreur;;
4094879d3a6b4ae68c572b1a7120312d;81;1;Ajout voie AD;19/01/2015 14:25;22/01/2015 15:18;;;;;En cours;;
260f6379ec018b00107e32e034e1707a;76;1;Creation voie sur troncon existant;19/01/2015 09:12;28/01/2015 15:09;;;SGA: Voie(s) non créée(s) (voir détails dans sga.log);;Erreur;;
0044f9b833a92500fc84f0fe9364918d;;1;Nouvelles adresses voie existante;15/01/2015 15:55;28/01/2015 15:09;;;;;En cours;;
